teks_chat,label_intent
lu bilang gw mencurigakan tapi si Yogi lebih sering hilang pas diskusi,deflecting
gw aman kok yang perlu diawasi itu si Caca karena alibinya tipis,deflecting
bukan gw yang nyari ribut dari tadi si Eko malah mancing semua orang,deflecting
kalau si Gita beneran stalker harusnya dia punya info bukan cuma nuduh gw,deflecting
gw cuma ngebela diri karena si Hani mulai nyari kambing hitam,deflecting
vote gw sekarang malah nguntungin hitman yang sebenarnya si Iwan,deflecting
jangan termakan provokasi si Jeni dia yang paling keras nyuruh eksekusi,deflecting
gw gak punya alasan bunuh siapa pun coba lihat pola vote si Koko,deflecting
yang berubah sikap setelah malam itu si Luki bukan gw,deflecting
lu fokus banget ke gw sampai lupa si Mita tadi gag order orang,deflecting
si Ojan lebih mencurigakan karena jawabannya selalu muter-muter,deflecting
gw bisa jelasin semuanya tapi kenapa si Pita malah terus motong chat gw,deflecting
kalau gw hitman harusnya gw diam bukan malah bantu analisis,deflecting
si Qori tiba-tiba nuduh gw setelah temennya mati itu sus banget,deflecting
jangan percaya si Rara dia cuma mindahin isu karena alibinya ketahuan,deflecting
gw bukan hitman serius yang ngatur arah vote itu si Seno,deflecting
si Tami kelihatan banget lagi cari target baru setelah tuduhannya gagal,deflecting
lu salah baca situasi si Udin yang paling diuntungkan dari tribunal kemarin,deflecting
gw cuma civilian dan gak punya info role siapa-siapa beda sama si Vero yang sok tahu,deflecting
coba tanya si Wira kenapa dia selalu muncul pas mau voting aja,deflecting
yang defensif dari tadi itu si Xena bukan gw,deflecting
si Yuda sengaja bikin gw kelihatan sus supaya dirinya aman,deflecting
gw gak pernah pakai gag order jadi jangan samain gw sama si Zaki,deflecting
kalau mau cari hitman lihat siapa yang paling cepat lempar nama orang lain,deflecting
tuduhan ini cuma pengalihan karena si Ardi takut identitasnya kebaca,deflecting
gw gak pernah klaim stalker yang ngaku begitu malah si Beni,deflecting
si Citra terlalu cepat percaya info palsu berarti dia patut dicurigai,deflecting
jangan eksekusi gw dulu karena si Danu jelas punya motif lebih kuat,deflecting
lu nuduh gw buat nutupin gerak-gerik si Evi yang dari malam gak pernah ngomong,deflecting
gw gak masalah diperiksa tapi vote si Fikri dulu karena dia paling mencurigakan,deflecting
sumpah yang main aman dan cuma ikut arus itu si Geri bukan aku,deflecting
"gw bukan hitman bro, yang dari tadi nuduh tanpa bukti itu malah mencurigakan",deflecting
"jangan fokus ke gw terus, si Raka dari awal juga ngilang pas diskusi",deflecting
"kalau gw hitman ngapain segitunya ngebela diri, coba cek si Dimas yang diem aja",deflecting
"tuduhan lu ngawur, mending bahas kenapa si Nia vote random kemarin",deflecting
"bukan gw yang aneh, justru lu yang buru-buru ngegas dari awal ronde",deflecting
"gw civilian kok, perhatian kalian salah target, si Bimo malah makin mencurigakan",deflecting
daripada nuduh gw tanpa dasar mending tanya si Sari soal aksinya semalam,deflecting
"lu nuduh gw karena panik ya, padahal yang gag order kemarin jelas bukan gw",deflecting
"sumpah gw bukan hitman, si Aldi yang terus ganti-ganti alasan itu lebih sus",deflecting
"kenapa gw terus yang dibahas, coba lihat si Fajar yang sama sekali nggak kontribusi",deflecting
"gw nggak punya alasan buat bohong, tapi lu sendiri belum jelasin kenapa vote si Rina",deflecting
"kalau mau cari hitman jangan cuma lihat yang vokal, pemain pendiam kayak si Tio juga patut dicurigai",deflecting
"bukan gw pelakunya, si Kiki malah menghindar tiap ditanya soal malam pertama",deflecting
"lu salah baca situasi, yang paling maksa eksekusi gw itu justru orang yang perlu kita cek",deflecting
"gw cuma ngasih analisis, kenapa malah gw yang diserang, coba perhatiin si Yuda",deflecting
"jangan lempar kesalahan ke gw, si Wawan dari tadi cuma ikut arus voting",deflecting
"aku tidak bersalah, tetapi sikapmu yang terlalu agresif justru lebih mencurigakan",deflecting
"saya warga biasa, sebaiknya kita menelusuri alibi pemain yang tidak aktif",deflecting
"tuduhan ini tidak berdasar, apakah kamu sudah menjelaskan tindakanmu pada fase malam",deflecting
"jangan abaikan si Maya hanya karena dia terlihat tenang, bisa jadi dia sedang menutup identitasnya",deflecting
"aku bukan Hitman, malah sejak awal si Reza yang mengarahkan semua orang untuk memilih target tertentu",deflecting
"kalau bukti kalian cuma karena gw banyak ngomong ya lemah banget, cek si Jono yang pasif",deflecting
lu bilang gw mencurigakan tapi belum jawab kenapa target lu selamat semalam,deflecting
"gw rasa kalian salah fokus, pola voting si Vina lebih aneh daripada pembelaan gw",deflecting
"bukan waktunya ngejar gw, bahas dulu kenapa si Eko mendadak menghilang setelah chat dibuka",deflecting
"sumpah demi tim gw aman, yang perlu diperiksa itu si Lala karena alibinya berubah-ubah",deflecting
"gw dituduh cuma karena beda pendapat, sementara si Doni ikut semua keputusan tanpa alasan",deflecting
"kalian mau eksekusi gw silakan, tapi jangan kaget kalau Hitman sebenarnya si Bagas",deflecting
"aku sudah menjelaskan posisiku, sekarang giliran dia yang menerangkan kenapa terus menghindari pertanyaan",deflecting
"yang bikin suasana kacau bukan gw, tapi si Nando yang dari tadi memotong semua analisis",deflecting
"lu terlalu cepat menyimpulkan, padahal si Putri punya riwayat vote yang paling mencurigakan",deflecting
"gw nggak pernah pakai Gag Order, tanya aja siapa yang paling diuntungkan dari pembungkaman itu",deflecting
"kalau aku Stalker pun aku nggak bakal buka identitas sembarangan, tapi perilaku si Seno jelas lebih sus",deflecting
"jangan percaya omongan si Riko mentah-mentah, dia yang pertama kali nuduh tanpa data",deflecting
"gw cuma salah baca satu hal bukan berarti gw Hitman, si Caca malah nggak punya kontribusi sama sekali",deflecting
daripada menghakimi saya sekarang lebih baik periksa inkonsistensi jawaban pemain lain,deflecting
"dia nuduh gw karena takut kebaca, coba lihat siapa yang paling diuntungkan kalau gw mati",deflecting
"fix bukan gw, si Oki kelihatan banget lagi mengarahkan voting ke target aman",deflecting
"jangan jadikan gw kambing hitam, bahas dulu kenapa si Tania selalu muncul setelah keputusan dibuat",deflecting
"lu curiga sama gw karena gw defensif, tapi si Arman juga defensif banget pas ditanya soal aksinya",deflecting
"gw nggak perlu ngarang cerita, yang bohong malah si Gita karena alibinya nggak nyambung",deflecting
"kalau memang mau menang jangan buang waktu eksekusi orang yang cuma banyak bicara, cek pemain yang pasif",deflecting
"aku memahami kecurigaan kalian, tetapi alasan yang sama juga berlaku untuk si Hasan",deflecting
"yang mulai tuduhan ini si Fikri dan sekarang dia malah diam, menurutku itu lebih mencurigakan",deflecting
"gw aman kok, jangan sampai Hitman memanfaatkan keributan ini buat menyingkirkan gw",deflecting
"lu nuduh gw buat nutupin jejak sendiri ya, karena voting lu dari tadi paling nggak konsisten",deflecting
"bukan gw yang bikin tim kehilangan arah, si Bela terus memecah fokus dengan tuduhan random",deflecting
"saya menolak tuduhan tersebut, dan saya menyarankan kita meninjau ulang perilaku pemain yang berubah setelah tribunal",deflecting
"gw udah kasih semua info yang bisa gw kasih, sekarang sorot si Kevin yang selalu ikut mayoritas",deflecting
kalau aku benar Hitman pasti nggak akan sebegitu terang-terangan membela analisis tim,deflecting
"jangan eksekusi gw cuma karena dia teriak paling keras, bisa jadi dia sedang mengalihkan perhatian",deflecting
si A dari tadi ngeles terus dan nggak kasih alibi jelas fix hitman,persuading
vote si B aja gerakannya paling mencurigakan sejak ronde pertama,persuading
menurut gw si C terlalu cepat nuduh orang lain buat nutupin jejaknya,persuading
jangan kejebak omongan si D dia kayaknya lagi pakai gag order buat bikin kita panik,persuading
si E diam terus pas diskusi padahal hitman biasanya main aman begitu,persuading
gw curiga berat sama si F karena alibinya berubah-ubah,persuading
kalau kita salah vote kali ini hitman makin bebas jadi eksekusi si G aja,persuading
si H paling sering menggiring vote tapi nggak pernah kasih bukti,persuading
fix si I sus dari cara dia membela si J tanpa alasan,persuading
vote si K sekarang sebelum dia sempat bikin kita saling curiga,persuading
aku rasa si L adalah hitman karena jawabannya selalu menghindar,persuading
si M tadi kena gag order dan menurutku itu bukan kebetulan,persuading
jangan vote acak si N paling mencurigakan dari pola chatnya,persuading
si O terlalu pasif buat ukuran civilian biasa kemungkinan dia hitman,persuading
gw nggak percaya si P dia nuduh orang hanya berdasarkan asumsi,persuading
kita harus eksekusi si Q karena dia terus memecah fokus diskusi,persuading
si R kelihatan tahu terlalu banyak padahal dia mengaku civilian,persuading
vote si S aja dia muncul cuma saat mau mengarahkan voting,persuading
menurutku si T sengaja bikin argumen berantakan supaya hitman lolos,persuading
si U paling sus dari semua pemain dan belum punya pembelaan kuat,persuading
kalau si V benar-benar spy harusnya dia bisa jelaskan alasan guardnya,persuading
si W mengaku stalker tapi klaim peek-nya nggak konsisten,persuading
gw yakin si X hitman lihat saja dia selalu ikut vote mayoritas,persuading
si Y terlalu agresif menekan pemain lain mungkin dia sedang menutupi perannya,persuading
kalian jangan tertipu si Z dari tadi cuma mengulang tuduhan tanpa bukti,persuading
aku usul kita eksekusi si A karena perilakunya paling tidak konsisten,persuading
si B jelas sedang cari kambing hitam supaya dirinya aman,persuading
vote si C dia bahkan nggak membantah tuduhan dengan serius,persuading
hitman pasti senang kalau kita terus debat tanpa target jadi pilih si D,persuading
si E terlalu cepat menyimpulkan bahwa semua orang aman itu mencurigakan,persuading
gw rasa si F bukan civilian karena dia paham pola serangan malam terlalu detail,persuading
si G tadi langsung mengarahkan voting ke si H tanpa alasan yang jelas,persuading
kita fokus ke si I dulu karena dia paling banyak bikin kekacauan,persuading
si J klaimnya sebagai spy terasa dibuat-buat dan datang di saat yang pas,persuading
menurut analisis chat si K punya pola defensif seperti hitman,persuading
jangan kasih kesempatan si L bicara lagi langsung vote dia,persuading
si M kemungkinan besar hitman karena terus memanfaatkan pemain yang kena gag order,persuading
vote si N aja dia selalu menunggu orang lain menentukan arah,persuading
si O bilang dia stalker tetapi belum pernah memberi informasi yang bisa diverifikasi,persuading
aku lebih percaya si P sebagai target eksekusi karena semua alibinya lemah,persuading
si Q makin dibela banyak orang justru makin sus menurut gw,persuading
si R terlihat sengaja menghindari topik soal aksi malam,persuading
kalau mau menang kita harus sepakat eksekusi si S sekarang,persuading
si T dari tadi cuma ikut arus dan itu gaya hitman yang takut ketahuan,persuading
gw sarankan vote si U karena dia paling sering mengubah pendapat,persuading
si V terlalu tenang setelah ada korban malam ini pasti dia tahu sesuatu,persuading
jangan pilih si W dia cuma civilian yang sedang kena fitnah,persuading
target paling masuk akal saat ini si X karena bukti chat mengarah ke dia,persuading
si Y belum memberikan kontribusi apa pun selain menuduh orang lain,persuading
fix kita eksekusi si Z sebelum hitman memakai gag order lagi,persuading
kalau kalian setuju kita bulatkan suara ke si A supaya tribunal kali ini nggak sia-sia,persuading
si A dari tadi ngeles terus pas ditanya role fix dia Hitman,persuading
vote B aja gerakannya paling mencurigakan sejak ronde pertama,persuading
jangan keburu percaya sama C dia cuma ikut arus biar aman,persuading
menurut gw D harus dieksekusi sebelum dia makin bebas bikin kacau,persuading
E terlalu aktif nuduh orang tapi nggak pernah kasih bukti,persuading
fix F Hitman lihat aja alasan dia selalu berubah-ubah,persuading
kalau kita salah vote G ronde ini Hitman bakal makin susah dihentikan,persuading
gw curiga berat sama H dia muncul cuma pas mau menggiring vote,persuading
tolong fokus ke I dulu karena jawabannya paling nggak konsisten,persuading
J kelihatan banget lagi cari kambing hitam buat nutupin perannya,persuading
daripada nebak-nebak mending kita eksekusi K yang paling mencurigakan,persuading
L dari tadi defensif banget padahal belum ada yang nuduh langsung,persuading
vote M sekarang dia kemungkinan besar dalang semua serangan malam,persuading
N ngaku punya info tapi omongannya muter-muter banget sus,persuading
gw yakin O cuma pura-pura bingung supaya lolos dari tribunal,persuading
P terlalu cepat membela Q jadi mereka bisa aja satu kubu,persuading
jangan buang vote ke pemain pasif R justru S yang aktif mengacau,persuading
menurut aku T adalah pilihan paling aman untuk dieksekusi hari ini,persuading
U ketahuan mengubah cerita setelah V kasih argumen kuat,persuading
kita harus kompak vote W kalau nggak Hitman bakal menang malam ini,persuading
X terus menghindari pertanyaan soal aksinya semalam,persuading
Y paling sering memancing debat lalu sembunyi saat diminta bukti,persuading
z bisa jadi Spy palsu karena klaimnya nggak nyambung sama kejadian,persuading
aku nggak percaya A2 yang baru muncul langsung nuduh orang lain,persuading
B2 keliatan sengaja bikin chat berantakan supaya target sebenarnya lolos,persuading
C2 selalu ikut vote mayoritas tanpa pernah punya pendapat sendiri,persuading
kalau dia benar Civilian harusnya jawabannya lebih jelas bukan malah menyerang balik,persuading
D2 punya pola mencurigakan tiap malam selalu ada alasan baru,persuading
gw rasa E2 adalah Hitman yang sedang cari target untuk Gag Order,persuading
F2 jangan dikasih kesempatan lanjut ronde karena buktinya sudah cukup,persuading
kalian lihat sendiri G2 paling panik waktu nama H2 disebut,persuading
vote I2 aja dia terlalu maksa kita pindah target,persuading
J2 kemungkinan sedang melindungi partnernya dengan nuduh K2,persuading
L2 kelihatan tenang bukan karena aman tapi karena merasa rencananya berhasil,persuading
aku minta semua fokus eksekusi M2 sebelum fase malam dimulai,persuading
N2 dari tadi cuma mengulang tuduhan tanpa menjawab kecurigaan ke dirinya,persuading
O2 paling masuk akal jadi Hitman karena jejak votingnya aneh,persuading
jangan sampai P2 lolos dia jelas sedang memainkan opini warga,persuading
Q2 terlalu cepat mengklaim aman padahal Stalker belum kasih info,persuading
R2 terus mengarahkan vote ke Civilian dan itu mencurigakan banget,persuading
sumpah S2 lebih layak dieksekusi daripada T2 yang sudah kasih penjelasan,persuading
kalau kalian masih ragu perhatikan U2 dia selalu muncul setelah konflik dimulai,persuading
V2 mungkin pakai Gag Order untuk membungkam orang yang hampir bongkar identitasnya,persuading
W2 harus keluar sekarang karena dia paling diuntungkan dari kekacauan ini,persuading
gw nggak mau ambil risiko biarkan X2 hidup sampai malam berikutnya,persuading
Y2 jelas bukan warga biasa cara bicaranya terlalu mengatur alur diskusi,persuading
z2 dari awal cuma pura-pura membantu padahal semua sarannya merugikan,persuading
ayo satukan vote ke A3 jangan terpencar atau Hitman bakal selamat,persuading
aku yakin B3 target yang benar lihat saja semua kontradiksi di chatnya,persuading
sebelum tribunal ditutup pastikan vote kita jatuh ke C3,persuading
gw civilian biasa jangan curiga dulu,claiming
sumpah aku Spy dan semalam aku jaga seseorang,claiming
aku Stalker bukan Hitman ya,claiming
fix gw Hitman kalau kalian berani percaya,claiming
gue ngaku Civilian murni dari awal,claiming
aku bukan sus dan role-ku Civilian,claiming
gw Spy tolong jangan vote gw pagi ini,claiming
dia bilang Stalker tapi sebenarnya gw yang punya info,claiming
aku Stalker dan baru bisa Peek malam ini,claiming
kalian boleh curiga tapi gw bukan Hitman,claiming
role gw Spy jadi jangan eksekusi aku dulu,claiming
saya warga biasa dan tidak punya skill apa pun,claiming
gw claim Civilian kalau ada yang mau bantah silakan,claiming
aku Hitman katanya tapi jelas itu cuma jebakan,claiming
fix aku Stalker bukan pengkhianat di sini,claiming
lu percaya aja gw Spy dan bisa Guard,claiming
gue bukan pelaku malam tadi role gue Civilian,claiming
aku claim sebagai Stalker dan siap kasih hasil Peek,claiming
gw Spy asli jangan sampai salah vote,claiming
role aku Civilian jadi jangan paksa aku buka info,claiming
sumpah demi tim gw bukan Hitman,claiming
aku adalah Spy yang bertugas melindungi warga,claiming
gw Stalker dan hasil intipanku bisa dicek nanti,claiming
kalian salah sasaran kalau vote aku karena aku Civilian,claiming
aku bukan sus role-ku jelas Civilian,claiming
gue berani claim Spy sekarang sebelum terlambat,claiming
gw Hitman asli katanya sih biar kalian panik,claiming
aku Stalker bukan orang yang kalian cari,claiming
role gw warga biasa jadi kontribusiku cuma analisis,claiming
saya mengklaim sebagai Spy dan siap dipertanggungjawabkan,claiming
aku bukan Hitman dan tidak punya akses Gag Order,claiming
gw claim Civilian siapa pun yang nuduh harus bawa bukti,claiming
lu bisa cek nanti aku Stalker bukan pembunuh,claiming
gue Spy dan malam kemarin sudah melakukan Guard,claiming
aku cuma Civilian jangan buang vote ke sini,claiming
fix yang ngegas ke aku itu bukan berarti gw Hitman karena aku Spy,claiming
role-ku Stalker dan aku punya alasan buat curiga ke dia,claiming
gw berani buka identitas aku Civilian,claiming
aku Hitman menurut kalian tapi sebenarnya aku Spy,claiming
sumpah gw bukan pelaku aku warga biasa,claiming
aku claim Stalker dari sekarang biar info tidak hilang,claiming
kalau perlu aku buka role sekarang aku Civilian,claiming
gw Spy jangan eksekusi aku sebelum malam berikutnya,claiming
gue bukan Hitman role asli gue Stalker,claiming
aku warga biasa dan tidak bisa melakukan aksi malam,claiming
role gw Spy jadi fokus cari orang yang mengaku palsu,claiming
aku Stalker dan klaim ini bukan buat cari aman,claiming
gw bukan sus aku Civilian yang dari tadi ikut diskusi,claiming
saya bukan Hitman melainkan Stalker,claiming
aku claim Spy kalau ada yang bisa membuktikan aku bohong silakan,claiming
gw civilian biasa bukan hitman,claiming
sumpah gue Spy dan semalam nge-Guard Raka,claiming
aku Stalker dan sudah Peek satu orang tadi malam,claiming
fix gue bukan Hitman cuma warga biasa,claiming
lu percaya aja aku Spy yang jagain tim,claiming
"gw Hitman, silakan kalau berani vote sekarang",claiming
aku claim Civilian dulu biar jelas posisi,claiming
dia ngaku Spy padahal gw Spy asli,claiming
gue Stalker tapi belum bisa buka hasil Peek,claiming
kami civilian semua jangan asal eksekusi,claiming
gw bukan sus dan role gw Civilian,claiming
saya mengaku sebagai Spy dan siap menjelaskan aksi malam,claiming
aku Hitman katanya? enggak lah gw warga biasa,claiming
role gw Stalker dan target Peek gw aman,claiming
lu jangan nuduh gw Hitman tanpa bukti karena gw Spy,claiming
gw claim Spy dari awal biar tidak ada yang salah paham,claiming
sumpah aku Civilian dan tidak punya skill malam,claiming
yang asli Stalker itu aku bukan dia,claiming
gue Hitman asli tapi jangan berharap gw gampang ketangkap,claiming
aku bukan role jahat gw cuma Civilian,claiming
gw Spy semalam ngejagain Dito jadi cek alibinya,claiming
dia bohong soal role karena gw Stalker asli,claiming
aku claim sebagai Stalker dan punya info penting,claiming
kalian boleh curiga tapi gw Civilian beneran,claiming
fix role gw Spy bukan Hitman,claiming
gw cuma warga biasa jangan dibungkam pakai Gag Order,claiming
aku Stalker dan Peek berikutnya masih cooldown,claiming
saya Civilian dan tidak terlibat aksi malam sama sekali,claiming
lu bisa percaya gw karena role gw Spy,claiming
gw Hitman jadi mending kalian salah vote aja,claiming
role gue Civilian siapa pun boleh cek dari pola main,claiming
aku Spy tapi belum mau sebut siapa yang aku Guard,claiming
yang ngaku Civilian itu mencurigakan karena gw Civilian asli,claiming
gw claim Stalker dan hasil intipanku ada di tangan,claiming
sumpah dia Hitman sedangkan aku Spy yang melindungi tim,claiming
aku bukan Stalker dan bukan Spy gw Civilian,claiming
gue role jahatnya Hitman jangan sok aman,claiming
kami para Civilian harus kompak cari Hitman,claiming
gw Spy asli kalau mati berarti tim kehilangan pelindung,claiming
aku Stalker dan bisa bantu bongkar identitas Hitman,claiming
dia cuma pura-pura jadi Spy karena gw yang pegang role itu,claiming
gue warga biasa tapi siap ikut keputusan Tribunal,claiming
claim gw jelas aku Hitman dan kalian sudah terlambat,claiming
aku Spy semalam gagal Guard karena targetnya kena serang bukan,claiming
gw Civilian jadi jangan berharap ada info dari fase malam,claiming
role gue Stalker dan malam ini belum bisa Peek lagi,claiming
lu boleh vote gw tapi ingat aku Spy yang asli,claiming
saya mengklaim sebagai Civilian dan tidak memiliki kemampuan khusus,claiming
gw Hitman yang selama ini kalian cari,claiming
aku role Spy dan siap jadi pelindung malam ini,claiming
dia ngaku Stalker tapi gw Stalker sebenarnya,claiming
anjir baru mulai udah tegang aja,neutral
chat siang dibuka lagi guys,neutral
malam ini chat dikunci ya,neutral
lah kok langsung masuk tribunal,neutral
gw masih loading suasananya,neutral
santai dulu baru debat,neutral
eh tadi siapa yang ngomong terakhir,neutral
kok sunyi banget pagi ini,neutral
waduh ada yang kena hostage ya,neutral
ternyata fase malam cepat juga,neutral
gw kira masih diskusi ternyata udah malam,neutral
sistemnya simpel tapi bikin panik,neutral
shadow heist ini lumayan bikin mikir,neutral
baru ronde pertama udah pada curiga,neutral
lah vote-nya seri ya,neutral
siapa yang belum ikut voting,neutral
tribunal dibuka guys siap-siap,neutral
kok nama gw muncul di layar,neutral
eh chat gw kekunci dong,neutral
lah siapa yang kena gag order,neutral
fiturnya unik juga bisa bisu mendadak,neutral
gw tadi mau ngetik malah nggak bisa,neutral
malam tanpa chat berasa sepi banget,neutral
semua aksi malam dilakukan diam-diam ya,neutral
oke kita tunggu hasil paginya,neutral
pagi lagi nih semoga jelas,neutral
waduh ada yang hilang dari ronde ini,neutral
ternyata yang selamat masih banyak,neutral
gw belum paham timing peek-nya,neutral
skill tiap role beda banget ya,neutral
spy bisa guard satu orang katanya,neutral
hitman bisa hostage di malam hari,neutral
stalker punya cooldown juga toh,neutral
cooldown-nya lumayan lama ternyata,neutral
civilian cuma bisa ikut diskusi ya,neutral
nggak ada ekonomi sama sekali di game ini,neutral
enak juga nggak ada sistem uang-urangan,neutral
jadi fokusnya murni baca gerak pemain,neutral
round ini berasa cepet banget,neutral
gw baru masuk langsung disuruh vote,neutral
lah kok pagi datang lagi,neutral
kayaknya servernya lancar hari ini,neutral
suara tribunalnya rame juga,neutral
aku masih nyimak dulu ya,neutral
kamu tadi sempat lihat pengumumannya nggak,neutral
dia dari tadi cuma baca chat,neutral
kita tunggu semua orang online dulu,neutral
mereka langsung ramai setelah chat dibuka,neutral
fix game ini bikin susah santai,neutral
seru juga lihat hasil aksinya,neutral
waduh malamnya langsung dikunci ya,neutral
lah kok udah masuk fase siang aja,neutral
anjir tribunalnya mulai sekarang,neutral
chatnya mendadak sepi banget,neutral
eh tadi malam ada yang berubah ya,neutral
gw masih loading aturan gamenya,neutral
santai dulu guys jangan pada panik,neutral
kok semua diem sih,neutral
lah suara chat gw hilang,neutral
ini yang gag order aktif bukan sih,neutral
buset suasananya tegang banget,neutral
baru ronde pertama udah pada curiga,neutral
gw kira malamnya bakal lebih lama,neutral
eh ada yang tahu kapan voting dibuka,neutral
wkwk sistemnya lumayan bikin deg-degan,neutral
kok nama pemainnya tinggal segini,neutral
lah langsung dieksekusi dong,neutral
aku masih bingung bedain fase siang sama malam,neutral
ini game beneran bikin overthinking,neutral
sabar ya kita baca situasi dulu,neutral
chat terkunci lagi guys,neutral
waduh ada yang kena hostage berarti,neutral
kok tidak ada notifikasi detailnya,neutral
mereka semua mendadak serius banget,neutral
gw cuma nunggu orang-orang mulai ngomong,neutral
fix suasananya lebih serem dari namanya,neutral
eh tadi siapa yang tiba-tiba hilang dari chat,neutral
aku baru masuk sudah ada tribunal,neutral
ini votingnya kelihatan semua ya,neutral
kamu dengar suara sistem juga tidak,neutral
wkwk baru mulai sudah heboh,neutral
kayaknya ronde ini bakal panjang,neutral
lah kok targetnya tidak kelihatan,neutral
semoga malam ini aman-aman saja,neutral
gw belum terbiasa sama cooldown skillnya,neutral
oh jadi malam itu semua chat memang dikunci,neutral
gila cepat banget proses eksekusinya,neutral
ada yang mau jelasin alur game singkat,neutral
aku kira Stalker bisa intip tiap malam,neutral
ternyata tiap ronde ada fase yang beda,neutral
kok tombol votenya belum muncul,neutral
lu jangan spam dulu sistemnya lagi jalan,neutral
ini benar-benar cuma adu omongan ya,neutral
wah pemainnya makin sedikit,neutral
sumpah efek malamnya bikin penasaran,neutral
tadi aku sempat kira koneksiku putus,neutral
eh sekarang sudah masuk pagi lagi,neutral
kami masih mencoba memahami mekaniknya,neutral
mereka ribut sementara aku baca chat,neutral
oke lanjut saja ronde berikutnya,neutral
